quid	description	exampleTrue	exampleFalse	run	subList	completionUrl	triple	name
a05495ad-3402-4c12-ab40-c082a7d73026	``Arrow'' is one of the first things which come to mind when I hear ``fly' because (a/an) arrow is a typical example of things which fly/are used for flying'. 	``Knife'' is one of the first things which come to mind when I hear ``cut' because (a/an) knife is a typical example of things which cut/are used for cuting'. 	``Hamster'' is one of the first things which come to mind when I hear ``kill' because (a/an) hamster is a typical example of things which kill/are used for killing'. 	4	1	https://piasommerauer.github.io/annotation	typical_of_property-fly-arrow	Agree or disagree (run4-expert_inspection1-batch1-30-30)
8043f5ab-8b5f-4044-b026-53c86939d2c4	``Fly'' is one for the first things which come to mind when I hear ``arrow' because flying is one of the typical movements of (a/an) arrow'.	``Poke'' is one for the first things which come to mind when I hear ``needle' because pokeing is one of the typical activities of (a/an) needle'.	``Cut'' is one for the first things which come to mind when I hear ``brush' because cuting is one of the typical activities of (a/an) brush'.	4	1	https://piasommerauer.github.io/annotation	typical_of_concept-fly-arrow	Agree or disagree (run4-expert_inspection1-batch1-30-30)
c4a3f363-3b69-4b51-83f9-28a18b631ff2	I know that all or most arrow(s) fly regularly or are used for flying regularly. 	I know that all or most candle(s) burn regularly or are used for burning regularly. 	I know that all or most T-shirt(s) wrap regularly or are used for wraping regularly. 	4	1	https://piasommerauer.github.io/annotation	afforded_usual-fly-arrow	Agree or disagree (run4-expert_inspection1-batch1-30-30)
0fcea931-ee6f-4ccf-b622-093dbfbb33af	You can find (a/an) arrow which can fly/be used for flying. This distinguishes a certain type of arrow from others. 	You can find (a/an) dog which can hunt/be used for hunting. This distinguishes a certain type of dog from others. 	You can find (a/an) dog which can breathe/be used for breathing. This distinguishes a certain type of dog from others. 	4	1	https://piasommerauer.github.io/annotation	variability_limited-fly-arrow	Agree or disagree (run4-expert_inspection1-batch1-30-30)
bb1746e0-25b3-426f-a3f8-f047728ccbf4	I could say (a/an) arrow flies/is used for flying, but I would most certainly not mean it literally.	"I could say (a/an) idea grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) person glows/is used for glowing, but I would most certainly not mean it literally.
I could say (a/an) thought burns/is used for burning, but I would most certainly not mean it literally."	"I could say (a/an) plant grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) situation smiles/is used for smileing, but I would most certainly not mean it literally.
I could say (a/an) candle burns/is used for burning, but I would most certainly not mean it literally."	4	1	https://piasommerauer.github.io/annotation	creative-fly-arrow	Agree or disagree (run4-expert_inspection1-batch1-30-30)
b0bd90d3-2f16-4dbb-9d64-0cf24ce8fc59	I think there is a arrow  which can fly/be used for flying, but this is rare or uncommon.	I think there is a toddler  which can read/be used for reading, but this is rare or uncommon.	I think there is a teenager  which can read/be used for reading, but this is rare or uncommon.	4	1	https://piasommerauer.github.io/annotation	rare-fly-arrow	Agree or disagree (run4-expert_inspection1-batch1-30-30)
f41f4af4-17cb-4ef5-815d-e26e5b1bd27a	Usually, (a/an) arrow cannot fly/be used for flying, but there could be a highly unusual situation in which (a/an) arrow can fly.	Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.	Usually, (a/an) teacher cannot teach/be used for teaching, but there could be a highly unusual situation in which (a/an) teacher can teach.	4	1	https://piasommerauer.github.io/annotation	unusual-fly-arrow	Agree or disagree (run4-expert_inspection1-batch1-30-30)
fb2eb2dc-48e6-42c1-b980-db90d3826be7	I think it is impossible for (a/an) arrow to fly/be used for flying.	I think it is impossible for (a/an) rock to float/be used for floating.	I think it is impossible for (a/an) metal to melt/be used for melting.	4	1	https://piasommerauer.github.io/annotation	impossible-fly-arrow	Agree or disagree (run4-expert_inspection1-batch1-30-30)
db6fd3c3-5e24-4300-8a87-8e250e40b035	I could say (a/an) pin rolls/is used for rolling, but I would most certainly not mean it literally.	"I could say (a/an) idea grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) person glows/is used for glowing, but I would most certainly not mean it literally.
I could say (a/an) thought burns/is used for burning, but I would most certainly not mean it literally."	"I could say (a/an) plant grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) situation smiles/is used for smileing, but I would most certainly not mean it literally.
I could say (a/an) candle burns/is used for burning, but I would most certainly not mean it literally."	4	1	https://piasommerauer.github.io/annotation	creative-roll-pin	Agree or disagree (run4-expert_inspection1-batch1-30-30)
a34ed688-c717-491a-8c7e-0ffed6fb1130	Usually, (a/an) pin cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) pin can roll.	Usually, (a/an) hot dog cannot walk/be used for walking, but there could be a highly unusual situation in which (a/an) hot dog can walk.	Usually, (a/an) cat cannot run/be used for runing, but there could be a highly unusual situation in which (a/an) cat can run.	4	1	https://piasommerauer.github.io/annotation	unusual-roll-pin	Agree or disagree (run4-expert_inspection1-batch1-30-30)
db74eb38-9042-4fe9-becd-57cd970d370d	I think it is impossible for (a/an) pin to roll/be used for rolling.	I think it is impossible for (a/an) hammer to float/be used for floating.	I think it is impossible for (a/an) apple to rot/be used for roting.	4	1	https://piasommerauer.github.io/annotation	impossible-roll-pin	Agree or disagree (run4-expert_inspection1-batch1-30-30)
b7378bf4-91a4-4232-9c8c-9d5d9570a1c6	I know that (a/an) buttercup is yellow as most or all other things similar to (a/an) buttercup are yellow. 	I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. 	I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. 	4	1	https://piasommerauer.github.io/annotation	implied_category-yellow-buttercup	Agree or disagree (run4-expert_inspection1-batch1-30-30)
66e6352a-2647-430b-a6bb-a08fd1d4daee	``Buttercup'' is one of the first things which come to mind when I hear ``yellow' because (a/an) buttercup is a typical example of things which are yellow'. 	``Rainbow'' is one of the first things which come to mind when I hear ``colorful' because (a/an) rainbow is a typical example of things which are colorful'. 	``Table'' is one of the first things which come to mind when I hear ``white' because (a/an) table is a typical example of things which are white'. 	4	1	https://piasommerauer.github.io/annotation	typical_of_property-yellow-buttercup	Agree or disagree (run4-expert_inspection1-batch1-30-30)
5ab120f7-5472-4ba3-9e94-1e43139eaa37	``Yellow'' is one for the first things which come to mind when I hear ``buttercup' because yellow is one of the typical colors of (a/an) buttercup'.	``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper' because spicy is one of the typical tastes of (a/an) chili_pepper'.	``Sweet'' is one for the first things which come to mind when I hear ``spinach' because sweet is one of the typical tastes of (a/an) spinach'.	4	1	https://piasommerauer.github.io/annotation	typical_of_concept-yellow-buttercup	Agree or disagree (run4-expert_inspection1-batch1-30-30)
619d67ee-79ee-456a-8206-c5864857a042	You can find (a/an) buttercup which is yellow. Yellow is one of a few possible colors (a/an) buttercup usually has. There is only a limited range of possible colors.	You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose usually has. There is only a limited range of possible colors.	You can find (a/an) mug which is blue. Blue is one of a few possible colors (a/an) mug usually has. There is only a limited range of possible colors.	4	1	https://piasommerauer.github.io/annotation	variability_limited-yellow-buttercup	Agree or disagree (run4-expert_inspection1-batch1-30-30)
6c9be570-2c59-4a3e-a0fe-01125194dd2b	You can find (a/an) buttercup which is yellow. Yellow is one of many possible colors (a/an) buttercup usually has. The range of colors is almost unlimited. 	You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress usually has. The range of colors is almost unlimited. 	You can find (a/an) pea which is green. Green is one of many possible colors (a/an) pea usually has. The range of colors is almost unlimited. 	4	1	https://piasommerauer.github.io/annotation	variability_open-yellow-buttercup	Agree or disagree (run4-expert_inspection1-batch1-30-30)
22ea8137-dbe1-47f0-875d-f55309b96116	``Roll'' is one for the first things which come to mind when I hear ``tire' because rolling is one of the typical movements of (a/an) tire'.	``Paint'' is one for the first things which come to mind when I hear ``brush' because painting is one of the typical activities of (a/an) brush'.	``Throw'' is one for the first things which come to mind when I hear ``apple' because throwing is one of the typical activites of (a/an) apple'.	4	1	https://piasommerauer.github.io/annotation	typical_of_concept-roll-tire	Agree or disagree (run4-expert_inspection1-batch1-30-30)
ae40fb3d-eed7-4d63-ae6b-df7a5cdc8656	All or most  tire(s) can roll/be used for rolling. This is not what they normally do or are used for. 	All or most  T-shirt(s) can clean/be used for cleaning. This is not what they normally do or are used for. 	All or most  sponge(s) can clean/be used for cleaning. This is not what they normally do or are used for. 	4	1	https://piasommerauer.github.io/annotation	afforded_unusual-roll-tire	Agree or disagree (run4-expert_inspection1-batch1-30-30)
c2a8c89f-aae7-4e20-93eb-57a7aa8fdad1	I know that all or most tire(s) roll regularly or are used for rolling regularly. 	I know that all or most bug(s) crawl regularly or are used for crawling regularly. 	I know that all or most toothbrush(s) paint regularly or are used for painting regularly. 	4	1	https://piasommerauer.github.io/annotation	afforded_usual-roll-tire	Agree or disagree (run4-expert_inspection1-batch1-30-30)
17a08ed4-b9c9-4765-9f39-3b0527aa0c29	You can find (a/an) tire which can roll/be used for rolling. This distinguishes a certain type of tire from others. 	You can find (a/an) lamp which can read/be used for reading. This distinguishes a certain type of lamp from others. 	You can find (a/an) coat which can cook/be used for cooking. This distinguishes a certain type of coat from others. 	4	1	https://piasommerauer.github.io/annotation	variability_limited-roll-tire	Agree or disagree (run4-expert_inspection1-batch1-30-30)
45b28b10-8757-4807-9d5e-636ed3fb5c19	I could say (a/an) tire rolls/is used for rolling, but I would most certainly not mean it literally.	"I could say (a/an) idea grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) person glows/is used for glowing, but I would most certainly not mean it literally.
I could say (a/an) thought burns/is used for burning, but I would most certainly not mean it literally."	"I could say (a/an) plant grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) situation smiles/is used for smileing, but I would most certainly not mean it literally.
I could say (a/an) candle burns/is used for burning, but I would most certainly not mean it literally."	4	1	https://piasommerauer.github.io/annotation	creative-roll-tire	Agree or disagree (run4-expert_inspection1-batch1-30-30)
b0d405cf-95b3-47b6-ba2d-860dc072a384	I think there is a tire  which can roll/be used for rolling, but this is rare or uncommon.	I think there is a toddler  which can read/be used for reading, but this is rare or uncommon.	I think there is a teenager  which can read/be used for reading, but this is rare or uncommon.	4	1	https://piasommerauer.github.io/annotation	rare-roll-tire	Agree or disagree (run4-expert_inspection1-batch1-30-30)
99b9fd8a-9ed4-4393-bcac-a535351fb8fa	Usually, (a/an) tire cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) tire can roll.	Usually, (a/an) hot dog cannot walk/be used for walking, but there could be a highly unusual situation in which (a/an) hot dog can walk.	Usually, (a/an) cat cannot run/be used for runing, but there could be a highly unusual situation in which (a/an) cat can run.	4	1	https://piasommerauer.github.io/annotation	unusual-roll-tire	Agree or disagree (run4-expert_inspection1-batch1-30-30)
ead013eb-99c8-4b3a-be36-f0017ce64ae2	I think it is impossible for (a/an) tire to roll/be used for rolling.	I think it is impossible for (a/an) hammer to float/be used for floating.	I think it is impossible for (a/an) apple to rot/be used for roting.	4	1	https://piasommerauer.github.io/annotation	impossible-roll-tire	Agree or disagree (run4-expert_inspection1-batch1-30-30)
