conflict,triple,description,answer-antske,answer-antske_1,answer-antske_2,answer-lea,answer-pia,answer-pia run1,answer-pia_run1,answer-pia_run2,answer-piek,expected_behavior-antske,expected_behavior-antske_1,expected_behavior-antske_2,expected_behavior-lea,expected_behavior-pia,expected_behavior-pia run1,expected_behavior-pia_run1,expected_behavior-pia_run2,expected_behavior-piek,reason-antske,reason-antske_1,reason-antske_2,reason-pia,reason-pia run1,reason-pia_run1,reason-pia_run2,reason-piek,comment-antske,comment-lea,comment-pia,comment-pia run1,comment-pia_run1,comment-pia_run2,comment-piek
all,affording_activity-freebooter-dangerous,I know that being dangerous is necessary for many things (a/an) freebooter does or is used for. ,false,-,-,-,-,-,true,-,true,disagreement_ambiguous_concept-disagreement_odd_triple,-,-,-,-,-,disagreement_conceptualization,-,disagreement_agreement,-,-,-,-,-,-,-,-,-,-,-,-,"""Meaning of freebooter - interpretations can differ",-,-
all,typical_of_property-wine-red,``Wine'' is one of the first things which come to mind when I hear ``red' because (a/an) wine is a typical example of things which are red'. ,false,-,-,-,-,-,false,-,true,disagreement_agreement,-,-,-,-,-,disagreement_agreement,-,,-,-,-,-,-,-,-,"""People may also say roses, lips, but this depends on how common the concepts are",-,-,-,-,-,-,-
all,affording_activity-wine-red,I know that being red is necessary for many things (a/an) wine does or is used for. ,false,-,-,-,-,-,false,-,true,disagreement_agreement,-,-,-,-,-,disagreement_odd_triple,-,disagreement_agreement,-,-,-,-,-,-,-,-,-,-,-,-,"""Some people might reason that the red color is associated with the taste of red wine.",-,"""Again colours are not necessary but a by-product. Also see yellow pineapple"
all,implied_category-arrow-fly,I know that (a/an) arrow can fly/be used for flying as most or all other things similar to (a/an) arrow fly. ,true,-,-,-,true,-,-,-,false,disagreement_agreement-disagreement_conceptualization,-,-,-,disagreement_conceptualization,-,-,-,disagreement_conceptualization,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""Not clear what the category is: flying objects, projectiles,..."
all,typical_of_concept-acaridae-dangerous,``Dangerous'' is one for the first things which come to mind when I hear ``acaridae' because dangerous is one of the typical propertys of (a/an) acaridae'.,-,-,false,-,-,-,false,-,true,-,-,disagreement_agreement,-,-,-,disagreement_specialized_knowledge,-,disagreement_vague,-,-,,-,-,-,-,-,-,-,-,-,-,-,"""They are mildly dangerous as they cause allergies"
all,rare-acaridae-dangerous,"I think (a/an) acaridae can be dangerous, but this is rare or uncommon.",-,-,true,-,-,-,true,-,false,-,-,disagreement_specialized_knowledge,-,-,-,disagreement_specialized_knowledge,-,disagreement_conceptualization-disagreement_specialized_knowledge,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""They can cause allergies but people may not know this and allergies are mildly dangerous"
all,unusual-acaridae-dangerous,"Usually, (a/an) acaridae is not dangerous, but there could be a highly unusual situation in which (a/an) acaridae is dangerous.",-,-,true,-,-,-,true,-,false,-,-,disagreement_specialized_knowledge,-,-,-,disagreement_specialized_knowledge,-,disagreement_specialized_knowledge-disagreement_vague,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""not clear if people see allergies as dangerous. If they do than this unlikely situation is irrelevant, if they don't it is unconceivable (unless you think of a horror movie in which they are huge and eat us)"
all,creative-stock-fly,"I could say (a/an) stock flies/is used for flying, but I would most certainly not mean it literally.",-,-,true,-,-,-,true,-,false,-,-,disagreement_imagination,-,-,-,disagreement_ambiguous_concept-disagreement_imagination,-,disagreement_conceptualization,-,-,"""flying over the counter",-,-,-,-,-,-,-,-,-,"""stock (stock market) and stock (live stock) could both be meant in a metaphorical expression",-,"""If I say it I mean it literally but still we don't consider a stock of birds as flying away"
all,rare-stock-fly,"I think there is a stock  which can fly/be used for flying, but this is rare or uncommon.",-,-,false,-,-,-,false,-,true,-,-,disagreement_ambiguous_concept-disagreement_odd_pair,-,-,-,disagreement_ambiguous_concept-disagreement_odd_pair,-,disagreement_odd_triple,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""stock is a group animals, if they are birds they could fly but this is weird to ask"
all,unusual-stock-fly,"Usually, (a/an) stock cannot fly/be used for flying, but there could be a highly unusual situation in which (a/an) stock can fly.",true,-,true,-,-,-,false,-,true,disagreement_odd_pair-disagreement_odd_triple,-,disagreement_odd_pair,-,-,-,disagreement_ambiguous_concept-disagreement_odd_pair,-,disagreement_conceptualization,"""depends on what the stock consists of",-,-,-,-,-,-,-,-,-,-,-,-,-,"""stock of birds is kept but they could fly away"
